0	-nan	-nan	-nan	-nan	-nan	0
1	-nan	-nan	-nan	-nan	-nan	0
2	-nan	-nan	-nan	-nan	-nan	0
3	-nan	-nan	-nan	-nan	-nan	0
4	-nan	-nan	-nan	-nan	-nan	0
5	-nan	-nan	-nan	-nan	-nan	0
6	-nan	-nan	-nan	-nan	-nan	0
7	-nan	-nan	-nan	-nan	-nan	0
8	-nan	-nan	-nan	-nan	-nan	0
9	-nan	-nan	-nan	-nan	-nan	0
10	-nan	-nan	-nan	-nan	-nan	0
11	-nan	-nan	-nan	-nan	-nan	0
12	-nan	-nan	-nan	-nan	-nan	0
13	-nan	-nan	-nan	-nan	-nan	0
14	-nan	-nan	-nan	-nan	-nan	0
15	-nan	-nan	-nan	-nan	-nan	0
16	-nan	-nan	-nan	-nan	-nan	0
17	-nan	-nan	-nan	-nan	-nan	0
18	-nan	-nan	-nan	-nan	-nan	0
19	-nan	-nan	-nan	-nan	-nan	0
20	-nan	-nan	-nan	-nan	-nan	0
21	-nan	-nan	-nan	-nan	-nan	0
22	-nan	-nan	-nan	-nan	-nan	0
23	-nan	-nan	-nan	-nan	-nan	0
24	-nan	-nan	-nan	-nan	-nan	0
25	-nan	-nan	-nan	-nan	-nan	0
26	-nan	-nan	-nan	-nan	-nan	0
27	-nan	-nan	-nan	-nan	-nan	0
28	-nan	-nan	-nan	-nan	-nan	0
29	-nan	-nan	-nan	-nan	-nan	0
30	-nan	-nan	-nan	-nan	-nan	0
31	-nan	-nan	-nan	-nan	-nan	0
32	-nan	-nan	-nan	-nan	-nan	0
33	-nan	-nan	-nan	-nan	-nan	0
34	-nan	-nan	-nan	-nan	-nan	0
35	-nan	-nan	-nan	-nan	-nan	0
36	-nan	-nan	-nan	-nan	-nan	0
37	-nan	-nan	-nan	-nan	-nan	0
38	-nan	-nan	-nan	-nan	-nan	0
39	-nan	-nan	-nan	-nan	-nan	0
40	-nan	-nan	-nan	-nan	-nan	0
41	-nan	-nan	-nan	-nan	-nan	0
42	-nan	-nan	-nan	-nan	-nan	0
43	-nan	-nan	-nan	-nan	-nan	0
44	-nan	-nan	-nan	-nan	-nan	0
45	-nan	-nan	-nan	-nan	-nan	0
46	-nan	-nan	-nan	-nan	-nan	0
47	-nan	-nan	-nan	-nan	-nan	0
48	-nan	-nan	-nan	-nan	-nan	0
49	-nan	-nan	-nan	-nan	-nan	0
50	-nan	-nan	-nan	-nan	-nan	0
51	-nan	-nan	-nan	-nan	-nan	0
52	-nan	-nan	-nan	-nan	-nan	0
53	-nan	-nan	-nan	-nan	-nan	0
54	-nan	-nan	-nan	-nan	-nan	0
55	-nan	-nan	-nan	-nan	-nan	0
56	-nan	-nan	-nan	-nan	-nan	0
57	-nan	-nan	-nan	-nan	-nan	0
58	-nan	-nan	-nan	-nan	-nan	0
59	-nan	-nan	-nan	-nan	-nan	0
60	-nan	-nan	-nan	-nan	-nan	0
61	-nan	-nan	-nan	-nan	-nan	0
62	-nan	-nan	-nan	-nan	-nan	0
63	-nan	-nan	-nan	-nan	-nan	0
64	-nan	-nan	-nan	-nan	-nan	0
65	-nan	-nan	-nan	-nan	-nan	0
66	-nan	-nan	-nan	-nan	-nan	0
67	-nan	-nan	-nan	-nan	-nan	0
68	-nan	-nan	-nan	-nan	-nan	0
69	-nan	-nan	-nan	-nan	-nan	0
70	-nan	-nan	-nan	-nan	-nan	0
71	-nan	-nan	-nan	-nan	-nan	0
72	-nan	-nan	-nan	-nan	-nan	0
